ID,raw_event_ID,game_ID,half,start_time,end_time,player_ID,team_ID,pos_x,pos_y,accuracy,penalty
SHOT-20190413CHINC-0,RAW-20190413CHINC-142,20190413CHINC,1,2:54,3:14,244,NC,92.8,43.4,wide,0
SHOT-20190413CHINC-1,RAW-20190413CHINC-478,20190413CHINC,1,10:10,10:30,54,NC,86.0,27.0,on_target,0
SHOT-20190413CHINC-2,RAW-20190413CHINC-714,20190413CHINC,1,15:04,15:24,244,NC,100.0,29.6,blocked,0
SHOT-20190413CHINC-3,RAW-20190413CHINC-719,20190413CHINC,1,15:06,15:26,169,NC,87.2,34.8,blocked,0
SHOT-20190413CHINC-4,RAW-20190413CHINC-725,20190413CHINC,1,15:08,15:28,140,NC,78.9,24.6,blocked,0
SHOT-20190413CHINC-5,RAW-20190413CHINC-732,20190413CHINC,1,15:11,15:31,254,NC,92.1,31.5,wide,0
SHOT-20190413CHINC-6,RAW-20190413CHINC-1127,20190413CHINC,1,24:44,25:04,169,NC,85.7,35.0,wide,0
SHOT-20190413CHINC-7,RAW-20190413CHINC-1153,20190413CHINC,1,25:41,26:31,117,CHI,95.9,28.4,on_target,0
SHOT-20190413CHINC-8,RAW-20190413CHINC-1234,20190413CHINC,1,27:48,28:08,247,CHI,77.2,43.9,blocked,0
SHOT-20190413CHINC-9,RAW-20190413CHINC-1367,20190413CHINC,1,30:46,31:06,54,NC,87.5,36.8,wide,0
SHOT-20190413CHINC-10,RAW-20190413CHINC-1522,20190413CHINC,1,37:47,38:07,152,NC,75.9,24.4,blocked,0
SHOT-20190413CHINC-11,RAW-20190413CHINC-1739,20190413CHINC,1,41:36,41:56,244,NC,83.3,42.8,on_target,0
SHOT-20190413CHINC-12,RAW-20190413CHINC-1751,20190413CHINC,1,42:14,42:34,140,NC,79.1,32.9,wide,0
SHOT-20190413CHINC-13,RAW-20190413CHINC-1933,20190413CHINC,1,47:28,47:48,92,NC,76.1,31.1,wide,0
SHOT-20190413CHINC-14,RAW-20190413CHINC-2084,20190413CHINC,2,46:23,46:43,140,NC,74.1,15.5,on_target,0
SHOT-20190413CHINC-15,RAW-20190413CHINC-2770,20190413CHINC,2,59:51,60:11,247,CHI,94.7,43.6,wide,0
SHOT-20190413CHINC-16,RAW-20190413CHINC-2797,20190413CHINC,2,60:29,60:49,146,NC,97.9,46.8,blocked,0
SHOT-20190413CHINC-17,RAW-20190413CHINC-2919,20190413CHINC,2,63:27,63:47,54,NC,77.9,37.9,on_target,0
SHOT-20190413CHINC-18,RAW-20190413CHINC-2984,20190413CHINC,2,64:59,65:49,54,NC,94.5,23.5,on_target,0
SHOT-20190413CHINC-19,RAW-20190413CHINC-3025,20190413CHINC,2,66:26,66:46,117,CHI,98.9,33.9,blocked,0
SHOT-20190413CHINC-20,RAW-20190413CHINC-3223,20190413CHINC,2,72:22,72:42,140,NC,86.9,18.8,wide,0
SHOT-20190413CHINC-21,RAW-20190413CHINC-3319,20190413CHINC,2,74:12,74:32,54,NC,94.9,25.0,blocked,0
SHOT-20190413CHINC-22,RAW-20190413CHINC-3375,20190413CHINC,2,75:01,75:21,188,NC,89.5,34.0,blocked,0
SHOT-20190413CHINC-23,RAW-20190413CHINC-3536,20190413CHINC,2,78:12,78:32,64,NC,91.8,35.6,on_target,0
SHOT-20190413CHINC-24,RAW-20190413CHINC-3801,20190413CHINC,2,84:15,84:35,244,NC,88.0,22.2,wide,0
SHOT-20190413CHINC-25,RAW-20190413CHINC-4012,20190413CHINC,2,92:12,92:32,117,CHI,101.2,26.7,post_crossbar,0
